Party,Region,Y2011,Y2015,Y2019
C. Det Konservative Folkeparti,Fanø,94,77,186
C. Det Konservative Folkeparti,Fredericia,1242,639,1774
C. Det Konservative Folkeparti,Haderslev,1340,788,1534
C. Det Konservative Folkeparti,Kolding,3007,1817,3424
C. Det Konservative Folkeparti,Sønderborg,2416,818,2049
C. Det Konservative Folkeparti,Tønder,887,478,972
C. Det Konservative Folkeparti,Varde,961,510,1343
C. Det Konservative Folkeparti,Vejen,1035,619,1298
C. Det Konservative Folkeparti,Vejle,2961,1552,4032
C. Det Konservative Folkeparti,Aabenraa,1259,639,1403
C. Det Konservative Folkeparti,Favrskov,1303,953,2087
C. Det Konservative Folkeparti,Hedensted,985,655,1569
C. Det Konservative Folkeparti,Horsens,1770,1293,3208
C. Det Konservative Folkeparti,Norddjurs,663,469,807
C. Det Konservative Folkeparti,Odder,587,411,1186
C. Det Konservative Folkeparti,Randers,1811,1482,2632
C. Det Konservative Folkeparti,Samsø,140,108,170
C. Det Konservative Folkeparti,Silkeborg,2581,2554,5309
C. Det Konservative Folkeparti,Skanderborg,1473,1144,2498
C. Det Konservative Folkeparti,Syddjurs,1004,709,1445
C. Det Konservative Folkeparti,Aarhus,8292,6266,12829
C. Det Konservative Folkeparti,Herning,2446,1927,4619
C. Det Konservative Folkeparti,Holstebro,1405,1281,2427
C. Det Konservative Folkeparti,Ikast-Brande,1199,852,1683
C. Det Konservative Folkeparti,Lemvig,434,733,1212
C. Det Konservative Folkeparti,Ringkøbing-Skjern,1226,1085,2063
C. Det Konservative Folkeparti,Skive,803,893,1728
C. Det Konservative Folkeparti,Struer,500,584,953
C. Det Konservative Folkeparti,Viborg,2083,6019,9940
C. Det Konservative Folkeparti,Brønderslev,1358,685,1047
C. Det Konservative Folkeparti,Frederikshavn,1827,806,1734
C. Det Konservative Folkeparti,Hjørring,3046,2214,2518
C. Det Konservative Folkeparti,Jammerbugt,1277,474,1020
C. Det Konservative Folkeparti,Læsø,49,17,77
C. Det Konservative Folkeparti,Mariagerfjord,1311,589,1384
C. Det Konservative Folkeparti,Morsø,499,214,494
C. Det Konservative Folkeparti,Rebild,1037,477,899
C. Det Konservative Folkeparti,Thisted,1492,789,1696
C. Det Konservative Folkeparti,Vesthimmerlands,1382,950,1300
C. Det Konservative Folkeparti,Aalborg,6893,2938,5930
F. SF - Socialistisk Folkeparti,København,42899,22990,42797
F. SF - Socialistisk Folkeparti,Frederiksberg,6852,3787,6875
F. SF - Socialistisk Folkeparti,Dragør,571,283,503
F. SF - Socialistisk Folkeparti,Tårnby,2548,1200,2001
F. SF - Socialistisk Folkeparti,Albertslund,2148,1098,2092
F. SF - Socialistisk Folkeparti,Ballerup,2534,1296,2766
F. SF - Socialistisk Folkeparti,Brøndby,2084,870,1489
F. SF - Socialistisk Folkeparti,Gentofte,2142,1452,2779
F. SF - Socialistisk Folkeparti,Gladsaxe,3855,2127,4584
F. SF - Socialistisk Folkeparti,Glostrup,1127,505,1078
F. SF - Socialistisk Folkeparti,Herlev,1636,815,1588
F. SF - Socialistisk Folkeparti,Hvidovre,3213,1550,3424
F. SF - Socialistisk Folkeparti,Høje-Taastrup,2240,1181,2221
F. SF - Socialistisk Folkeparti,Ishøj,1166,663,910
F. SF - Socialistisk Folkeparti,Lyngby-Taarbæk,2740,1550,3057
F. SF - Socialistisk Folkeparti,Rødovre,2261,1152,2463
F. SF - Socialistisk Folkeparti,Vallensbæk,621,360,650
F. SF - Socialistisk Folkeparti,Allerød,1156,664,1171
F. SF - Socialistisk Folkeparti,Egedal,1757,959,1961
F. SF - Socialistisk Folkeparti,Fredensborg,1906,999,1764
F. SF - Socialistisk Folkeparti,Frederikssund,2394,1221,1981
F. SF - Socialistisk Folkeparti,Furesø,1866,1018,1987
F. SF - Socialistisk Folkeparti,Gribskov,1894,954,1670
F. SF - Socialistisk Folkeparti,Halsnæs,1969,1058,1881
F. SF - Socialistisk Folkeparti,Helsingør,3289,1536,2766
F. SF - Socialistisk Folkeparti,Hillerød,2425,1412,2345
F. SF - Socialistisk Folkeparti,Hørsholm,505,312,595
F. SF - Socialistisk Folkeparti,Rudersdal,1851,1049,1872
F. SF - Socialistisk Folkeparti,Bornholm,2000,711,1085
F. SF - Socialistisk Folkeparti,Christiansø,11,5,6
F. SF - Socialistisk Folkeparti,Greve,1939,812,1977
F. SF - Socialistisk Folkeparti,Køge,3183,2428,5855
F. SF - Socialistisk Folkeparti,Lejre,1807,1070,1999
F. SF - Socialistisk Folkeparti,Roskilde,5605,2920,5924
F. SF - Socialistisk Folkeparti,Solrød,871,403,1071
F. SF - Socialistisk Folkeparti,Faxe,2030,888,1971
F. SF - Socialistisk Folkeparti,Guldborgsund,4262,1319,2844
F. SF - Socialistisk Folkeparti,Holbæk,4071,1447,3189
F. SF - Socialistisk Folkeparti,Kalundborg,3152,994,2094
F. SF - Socialistisk Folkeparti,Lolland,5440,1111,1736
F. SF - Socialistisk Folkeparti,Næstved,4706,1690,4192
F. SF - Socialistisk Folkeparti,Odsherred,2055,697,1472
F. SF - Socialistisk Folkeparti,Ringsted,1760,740,1867
F. SF - Socialistisk Folkeparti,Slagelse,4780,1562,3788
F. SF - Socialistisk Folkeparti,Sorø,1796,792,1655
F. SF - Socialistisk Folkeparti,Stevns,1219,601,1554
F. SF - Socialistisk Folkeparti,Vordingborg,3276,1101,2804
F. SF - Socialistisk Folkeparti,Assens,2509,939,1564
F. SF - Socialistisk Folkeparti,Faaborg-Midtfyn,3215,1365,2057
F. SF - Socialistisk Folkeparti,Kerteminde,1719,730,839
F. SF - Socialistisk Folkeparti,Langeland,916,328,488
F. SF - Socialistisk Folkeparti,Middelfart,2158,1005,1471
F. SF - Socialistisk Folkeparti,Nordfyns,1954,601,1056
F. SF - Socialistisk Folkeparti,Nyborg,2080,705,1128
F. SF - Socialistisk Folkeparti,Odense,13555,6353,9631
F. SF - Socialistisk Folkeparti,Svendborg,4513,1636,2499
F. SF - Socialistisk Folkeparti,Ærø,371,128,228
F. SF - Socialistisk Folkeparti,Billund,829,356,482
F. SF - Socialistisk Folkeparti,Esbjerg,6424,2475,3938
F. SF - Socialistisk Folkeparti,Fanø,237,116,189
F. SF - Socialistisk Folkeparti,Fredericia,2530,1057,1762
F. SF - Socialistisk Folkeparti,Haderslev,3004,920,1614
F. SF - Socialistisk Folkeparti,Kolding,5465,2365,3614
F. SF - Socialistisk Folkeparti,Sønderborg,3374,1129,1897
F. SF - Socialistisk Folkeparti,Tønder,1691,560,1201
F. SF - Socialistisk Folkeparti,Varde,1871,721,1198
F. SF - Socialistisk Folkeparti,Vejen,1758,673,1029
F. SF - Socialistisk Folkeparti,Vejle,5346,2313,4096
F. SF - Socialistisk Folkeparti,Aabenraa,2188,823,1449
F. SF - Socialistisk Folkeparti,Favrskov,2166,1100,1852
F. SF - Socialistisk Folkeparti,Hedensted,1844,721,1258
F. SF - Socialistisk Folkeparti,Horsens,4521,1914,3411
F. SF - Socialistisk Folkeparti,Norddjurs,1739,867,1567
F. SF - Socialistisk Folkeparti,Odder,1410,575,1236
F. SF - Socialistisk Folkeparti,Randers,4513,1861,3882
F. SF - Socialistisk Folkeparti,Samsø,370,115,216
F. SF - Socialistisk Folkeparti,Silkeborg,5040,2428,4428
F. SF - Socialistisk Folkeparti,Skanderborg,3116,1517,3161
F. SF - Socialistisk Folkeparti,Syddjurs,2292,1652,2063
F. SF - Socialistisk Folkeparti,Aarhus,21393,10778,22019
F. SF - Socialistisk Folkeparti,Herning,3488,1676,2753
F. SF - Socialistisk Folkeparti,Holstebro,3250,1296,2447
F. SF - Socialistisk Folkeparti,Ikast-Brande,1510,600,1099
F. SF - Socialistisk Folkeparti,Lemvig,1548,600,745
F. SF - Socialistisk Folkeparti,Ringkøbing-Skjern,2622,1006,1586
F. SF - Socialistisk Folkeparti,Skive,2696,864,1681
F. SF - Socialistisk Folkeparti,Struer,1427,618,831
F. SF - Socialistisk Folkeparti,Viborg,5238,2632,4581
F. SF - Socialistisk Folkeparti,Brønderslev,1921,870,1041
F. SF - Socialistisk Folkeparti,Frederikshavn,3134,1041,1425
F. SF - Socialistisk Folkeparti,Hjørring,3915,1519,1966
F. SF - Socialistisk Folkeparti,Jammerbugt,2017,643,997
F. SF - Socialistisk Folkeparti,Læsø,93,27,45
F. SF - Socialistisk Folkeparti,Mariagerfjord,1964,805,1170
F. SF - Socialistisk Folkeparti,Morsø,937,265,460
F. SF - Socialistisk Folkeparti,Rebild,1469,531,960
F. SF - Socialistisk Folkeparti,Thisted,1767,568,1061
F. SF - Socialistisk Folkeparti,Vesthimmerlands,2563,667,1628
F. SF - Socialistisk Folkeparti,Aalborg,12910,5172,8952
O. Dansk Folkeparti,København,25233,33910,12907
O. Dansk Folkeparti,Frederiksberg,4535,6244,2403
O. Dansk Folkeparti,Dragør,1267,1941,770
O. Dansk Folkeparti,Tårnby,4852,7480,3101
O. Dansk Folkeparti,Albertslund,1984,3116,1225
O. Dansk Folkeparti,Ballerup,4295,6767,2898
O. Dansk Folkeparti,Brøndby,3348,5013,2070
O. Dansk Folkeparti,Gentofte,3099,4722,1617
O. Dansk Folkeparti,Gladsaxe,4609,6817,2787
O. Dansk Folkeparti,Glostrup,2304,3559,1543
O. Dansk Folkeparti,Herlev,2287,3627,1416
O. Dansk Folkeparti,Hvidovre,5121,7764,3298
O. Dansk Folkeparti,Høje-Taastrup,4171,6919,2867
O. Dansk Folkeparti,Ishøj,1774,2845,1219
O. Dansk Folkeparti,Lyngby-Taarbæk,2815,4188,1518
O. Dansk Folkeparti,Rødovre,3362,5039,2129
O. Dansk Folkeparti,Vallensbæk,1275,2043,832
O. Dansk Folkeparti,Allerød,1328,2388,907
O. Dansk Folkeparti,Egedal,3293,6026,2478
O. Dansk Folkeparti,Fredensborg,2432,4267,1767
O. Dansk Folkeparti,Frederikssund,3929,7017,3054
O. Dansk Folkeparti,Furesø,1850,3015,1129
O. Dansk Folkeparti,Gribskov,3605,6889,2802
O. Dansk Folkeparti,Halsnæs,2955,5031,2272
O. Dansk Folkeparti,Helsingør,4519,8019,3127
O. Dansk Folkeparti,Hillerød,2921,5345,2067
O. Dansk Folkeparti,Hørsholm,1247,2174,805
O. Dansk Folkeparti,Rudersdal,2200,3809,1326
O. Dansk Folkeparti,Bornholm,2965,5155,2625
O. Dansk Folkeparti,Christiansø,7,13,1
O. Dansk Folkeparti,Greve,5253,8170,3312
O. Dansk Folkeparti,Køge,6112,9175,3498
O. Dansk Folkeparti,Lejre,2468,3870,1712
O. Dansk Folkeparti,Roskilde,6523,10114,4141
O. Dansk Folkeparti,Solrød,2074,3329,1427
O. Dansk Folkeparti,Faxe,4027,6516,2779
O. Dansk Folkeparti,Guldborgsund,6606,11534,5444
O. Dansk Folkeparti,Holbæk,6396,10167,4632
O. Dansk Folkeparti,Kalundborg,6428,9574,4109
O. Dansk Folkeparti,Lolland,4544,7024,3065
O. Dansk Folkeparti,Næstved,8092,12914,5179
O. Dansk Folkeparti,Odsherred,4028,6049,2806
O. Dansk Folkeparti,Ringsted,3403,5586,2425
O. Dansk Folkeparti,Slagelse,9038,13577,5540
O. Dansk Folkeparti,Sorø,3015,4926,2127
O. Dansk Folkeparti,Stevns,2717,4144,1674
O. Dansk Folkeparti,Vordingborg,4847,7526,2827
O. Dansk Folkeparti,Assens,3634,6617,2956
O. Dansk Folkeparti,Faaborg-Midtfyn,4329,7747,3471
O. Dansk Folkeparti,Kerteminde,2122,3713,1594
O. Dansk Folkeparti,Langeland,1388,2309,854
O. Dansk Folkeparti,Middelfart,3285,5784,2357
O. Dansk Folkeparti,Nordfyns,2894,4951,2127
O. Dansk Folkeparti,Nyborg,2846,4894,1957
O. Dansk Folkeparti,Odense,13210,22542,8786
O. Dansk Folkeparti,Svendborg,4594,8412,3233
O. Dansk Folkeparti,Ærø,676,944,411
O. Dansk Folkeparti,Billund,2846,5306,2328
O. Dansk Folkeparti,Esbjerg,9562,18830,7930
O. Dansk Folkeparti,Fanø,292,448,201
O. Dansk Folkeparti,Fredericia,4858,9312,3891
O. Dansk Folkeparti,Haderslev,4949,10030,4213
O. Dansk Folkeparti,Kolding,8009,14361,6206
O. Dansk Folkeparti,Sønderborg,7329,14124,5511
O. Dansk Folkeparti,Tønder,3374,6958,2889
O. Dansk Folkeparti,Varde,4525,8996,4050
O. Dansk Folkeparti,Vejen,3796,7556,3282
O. Dansk Folkeparti,Vejle,11415,18745,8681
O. Dansk Folkeparti,Aabenraa,5711,11392,5076
O. Dansk Folkeparti,Favrskov,3512,6696,2748
O. Dansk Folkeparti,Hedensted,4636,8922,4127
O. Dansk Folkeparti,Horsens,6851,12878,6042
O. Dansk Folkeparti,Norddjurs,3359,6474,2587
O. Dansk Folkeparti,Odder,1398,2505,1111
O. Dansk Folkeparti,Randers,7365,14226,5798
O. Dansk Folkeparti,Samsø,265,446,196
O. Dansk Folkeparti,Silkeborg,6339,11166,4507
O. Dansk Folkeparti,Skanderborg,3758,7126,3129
O. Dansk Folkeparti,Syddjurs,3416,6275,2626
O. Dansk Folkeparti,Aarhus,15714,26073,10525
O. Dansk Folkeparti,Herning,6672,12377,4409
O. Dansk Folkeparti,Holstebro,4105,7563,2945
O. Dansk Folkeparti,Ikast-Brande,4072,6871,3015
O. Dansk Folkeparti,Lemvig,1893,2889,1108
O. Dansk Folkeparti,Ringkøbing-Skjern,4900,7985,3383
O. Dansk Folkeparti,Skive,3856,6245,2261
O. Dansk Folkeparti,Struer,1643,3020,1132
O. Dansk Folkeparti,Viborg,6898,11541,4469
O. Dansk Folkeparti,Brønderslev,2714,5129,2464
O. Dansk Folkeparti,Frederikshavn,5613,10409,4513
O. Dansk Folkeparti,Hjørring,5105,9871,4078
O. Dansk Folkeparti,Jammerbugt,3337,6140,2689
O. Dansk Folkeparti,Læsø,256,368,228
O. Dansk Folkeparti,Mariagerfjord,3522,6479,2787
O. Dansk Folkeparti,Morsø,1749,2992,1252
O. Dansk Folkeparti,Rebild,2120,4122,1710
O. Dansk Folkeparti,Thisted,4090,6069,2783
O. Dansk Folkeparti,Vesthimmerlands,3222,6287,2578
O. Dansk Folkeparti,Aalborg,13549,23294,9652
