ID,Priority,pH,Salinity,Notes,OM,Carbonate,Colour,Land_use,Texture,Photo,Day,Text_desc,Coarse_siz,Coarse_per,Coarse_rou,Text_silt,Text_sand,Text_clay,Lat,Long,Sum,Struct,Perm_rock,k_factor,OM_muns,Density,TARGET_FID
118,0,0,0,,2,0,5Y2.5/2,Harvested field (wheat),Light clay,L1889,10,L,5,5,1,41,41,18,42.658809029799997,25.319464615299999,100,3,2,3.7019999999999997e-002,3,1.4199999999999999,117
113,0,0,0,,2,0,5Y2.5/2,Fallow field (sown with beans),Stony loam,V0527,8,SL,25,65,1,25,65,10,42.658855000000003,25.194736666699999,100,3,4,2.0820000000000002e-002,3,1.5600000000000001,112
117,0,0,0,High quartz,2,1,10YR3/2,Sown pasture,Medium-heavy clay,3720,3,C,10,5,1,20,20,60,42.658876668399998,25.340509999999998,100,4,5,2.7890000000000002e-002,7,1.21,116
116,0,0,0,SE,2,0,7.5YR2.5/2,Walnut orchard,,3434,1,SCL,10,5,1,15,60,25,42.658936472699999,25.370391797,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,115
120,0,0,0,,2,0,10YR4/3,Orchard (walnut),Medium clay,L1880,10,SC,15,10,1,8,51,41,42.660209942000002,25.3248137611,100,2,4,2.47e-003,4,1.3200000000000001,119
123,0,0,0,Adjacent to residential area,2,1,10YR2/2,Cleared roadside,Light loam,3780,3,CL,0,0,1,35,32,33,42.661843335100002,25.271650000000001,100,4,4,8.5599999999999996e-002,7,1.3200000000000001,122
125,2,0,0,,9,9,,,Stony loam,V0547,8,SCL,8,20,1,15,60,25,42.662043333299998,25.216674999999999,100,2,3,3.6630000000000003e-002,7,1.4099999999999999,124
122,0,0,0,,1,0,2.5Y3/3,Harvested field (wheat),Gravelly loam,3790,3,SL,10,20,1,25,65,10,42.662255001799998,25.297856666600001,100,3,2,7.7009999999999995e-002,7.5,1.5600000000000001,121
121,0,0,0,S,2,2,2.5Y3/2,Harvested wheat field,Coarse sandy loam,3602,2,SCL,5,15,1,15,60,25,42.662316668400003,25.401720000000001,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,120
128,0,0,0,,2,2,2.5Y3/2,Roadside (weeds),Loam,V0546,8,SCL,10,15,1,15,60,25,42.664626666700002,25.214086666699998,100,2,3,1.142e-002,2.25,1.4099999999999999,127
129,0,0,0,0,1,0,7.5YR3/4,Grazed pasture,Loam,V0532,8,L,10,10,1,41,41,18,42.664870000000001,25.209488333300001,100,3,2,0.15021999999999999,6,1.4199999999999999,128
126,0,0,0,0,2,0,7.5YR2.5/3,Empty field,Light clay loam,V0557,8,SC,10,5,1,8,51,41,42.665023333299999,25.236954999999998,100,2,4,2.47e-003,4,1.3200000000000001,125
131,2,0,0,,9,9,,,Light clay,3789,3,SiL,5,5,1,68,20,12,42.666450001800001,25.2731166666,100,3,3,0.14201,9,1.4399999999999999,130
127,0,0,0,0,2,0,10YR3/3,"Grazed pasture, orchard",Medium clay loam,3442,1,SC,10,5,1,8,51,41,42.6666759314,25.360859647400002,100,2,4,2.47e-003,4,1.3200000000000001,126
136,0,0,0,NW,1,0,2.5Y3/2,Sown field,Stony loam,L1863,9,CL,15,10,1,35,32,33,42.668778333299997,25.260648333300001,100,4,4,5.4800000000000001e-002,9,1.3200000000000001,135
132,0,0,0,,2,1,10YR2/1,Fallow field (previously grain),Medium clay loam,3445,1,SCL,0,0,1,15,60,25,42.668866026300002,25.356114327099998,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,131
135,0,0,0,,2,0,10YR4/3,"Pasture (weeds, grasses)",Medium clay (stony),L1814,9,SC,4,5,1,8,51,41,42.669003333299997,25.299325,100,2,4,2.47e-003,4,1.3200000000000001,134
133,0,0,0,,2,0,10YR3/2,Rotary hoed field (grain),Light clay,3469,1,SC,0,0,1,8,51,41,42.669269382499998,25.319734676100001,100,2,4,2.47e-003,4,1.3200000000000001,132
134,0,0,0,Field burnt,2,1,2.5Y3/2,Burnt chaff and regrowth (wheat),"Light clay loam, some pebbles",3459,1,L,5,7.5,1,41,41,18,42.669576382499997,25.3384252448,100,3,2,4.3409999999999997e-002,0.80000000000000004,1.4199999999999999,133
139,0,0,0,,1,0,10YR3/2,"Roadside, pasture",Gravelly loam,3467,1,SiL,0,0,1,68,20,12,42.670850616999999,25.326430576900002,100,3,3,6.2199999999999998e-002,2.25,1.4399999999999999,138
138,1,0,0,,9,9,,,Gravelly sandy loam,3603,2,SL,15,30,1,25,65,10,42.671601668400001,25.396966666600001,100,3,3,2.4119999999999999e-002,3,1.5600000000000001,137
146,0,0,0,0,2,0,7.5YR2.5/3,Rosemary,Stony loam,V0565,8,CL,25,35,1,35,32,33,42.672381666699998,25.207045000000001,100,4,5,8.2299999999999998e-002,7,1.3200000000000001,144
140,0,0,0,,2,0,10YR3/4,Pasture (wheat),Medium clay,1896,10,SiC,3,5,1,43,8,49,42.672398333300002,25.2809383333,100,4,5,4.8099999999999997e-002,9,1.21,139
141,0,0,0,noorth,2,0,10YR2/1,Tall wild grass,"Light clay loam, some stones",V0558,8,CL,0,0,1,35,32,33,42.672421083099998,25.2461443487,100,4,4,5.4800000000000001e-002,9,1.3200000000000001,140
143,0,0,0,W,2,0,10YR3/2,Ploughed field,Stony light clay,V0560,8,SC,10,5,1,8,51,41,42.673139999999997,25.2296616667,100,2,4,2.47e-003,4,1.3200000000000001,142
142,0,0,0,0,2,0,10YR2/2,Roadside pasture,Stony clay loam,L1813,9,SC,10,20,1,8,51,41,42.673335000000002,25.300561666699998,100,2,4,2.47e-003,4,1.3200000000000001,141
145,0,0,0,,1,0,2.5Y3/2,Grazing pasture,Stony light clay,L1893,10,L,25,40,1,41,41,18,42.673403333300001,25.260103333299998,100,3,3,3.372e-002,3,1.4199999999999999,197
144,0,0,0,0,1,0,10YR3/3,Grazed pasture,Stony loam,V0561,8,SC,30,65,1,8,51,41,42.673654999999997,25.22052,100,2,6,5.7800000000000004e-003,7,1.3200000000000001,143
199,0,0,0,S,2,0,10YR3/4,Harvested grain field,Slightly gravelly loam,3638,2,SCL,15,12.5,1,15,60,25,42.675378764599998,25.376767311799998,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,195
147,0,0,0,N,2,1,10YR3/2,Ploughed deeply ripped field,Stony loam,L1815,9,SL,25,45,1,25,65,10,42.6755483333,25.295553333299999,100,3,3,2.4119999999999999e-002,3,1.5600000000000001,145
149,0,0,0,N,1,2,10YR3/2,Ploughed field (thistles),Stony clay loam,L1895,10,SCL,10,5,1,15,60,25,42.675819300999997,25.274400552300001,100,2,3,2.3290000000000002e-002,9,1.4099999999999999,147
150,1,0,0,N,9,9,,Sown grain field,Loam,3452,1,SiL,0,0,1,68,20,12,42.6772166684,25.3359416666,100,3,3,0.14201,9,1.4399999999999999,148
151,0,0,0,N,2,1,10YR2/2,Sown field,Gravelly clay loam,3636,2,SL,15,40,1,25,65,10,42.678517019899999,25.387235033,100,3,3,2.4119999999999999e-002,3,1.5600000000000001,149
155,0,0,0,,2,0,10YR3/3,Harvested field (wheat),Stony loam,V0564,8,CL,50,50,1,35,32,33,42.679938333300001,25.209029999999998,100,4,5,8.2299999999999998e-002,7,1.3200000000000001,153
174,0,0,0,,1,0,2.5Y3/3,Harvested field (wheat),Clay loam,4082,7,SiC,25,35,0,43,8,49,42.680945000000001,25.225024999999999,100,4,6,1.626e-002,4,1.21,172
152,0,0,0,,1,0,10YR2/2,Pasture,Light clay loam,NA,1,SC,7.5,5,1,8,51,41,42.681076711700001,25.328135842199998,100,2,4,3.0100000000000001e-003,2.25,1.3200000000000001,150
193,0,0,0,,2,0,2.5Y3/2,Grazed pasture,Stony loam,L1811,9,SCL,20,40,1,15,60,25,42.681659402299999,25.287809086100001,100,2,4,1.9990000000000001e-002,9,1.4099999999999999,191
153,0,0,0,,1,0,2.5Y3/2,Plantation,"Light clay loam, some gravel",3661,2,SCL,20,17.5,1,15,60,25,42.682186446300001,25.3695422851,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,151
154,0,0,0,,2,0,10YR3/4,Pasture (weeds),Clay loam (some gravel),3696,2,SC,20,35,1,8,51,41,42.682435001800002,25.357803333300001,100,2,5,-8.1999999999999998e-004,4,1.3200000000000001,152
195,0,0,0,E,2,0,10YR2/2,Sown field,Light clay,L1868,10,L,10,5,1,41,41,18,42.682442704000003,25.347858266399999,100,3,2,4.1369999999999997e-002,1.5,1.4199999999999999,193
156,0,0,0,,1,0,10YR3/2,Harvested field (wheat),Loam,L1810,9,SiC,4,5,1,43,8,49,42.682740000000003,25.295733333299999,100,4,5,7.6630000000000004e-002,7,1.21,154
160,0,0,0,,2,0,2.5Y3/3,Harvested field (wheat),Light clay,4081,7,SiC,35,50,0,43,8,49,42.683005000000001,25.214846666700002,100,4,6,7.3330000000000006e-002,7,1.21,158
159,0,0,0,,1,0,10YR3/3,Field (lavender),Stony loam,4112,7,CL,10,20,0,35,32,33,42.683163333300001,25.245768333299999,100,4,4,5.4800000000000001e-002,9,1.3200000000000001,157
161,0,0,0,0,2,1,10YR2/2,Pasture,Light clay,V0574,8,SiC,10,20,1,43,8,49,42.684024999999998,25.262775000000001,100,4,5,1.9560000000000001e-002,4,1.21,159
192,0,0,0,S aspect,2,0,10YR3/2,Rose plantation,Stony medium clay,4116,7,SCL,25,50,1,15,60,25,42.684352468999997,25.275702310300002,100,2,4,6.6600000000000001e-003,4,1.4099999999999999,190
158,0,0,0,0,2,0,5YR2.5/1,Grassland/pasture,Light clay,3693,2,SC,5,5,1,8,51,41,42.684635471699998,25.362391174300001,100,2,4,2.47e-003,4,1.3200000000000001,156
157,0,0,0,0,1,0,7.5YR2.5/2,Pasture,Clay loam (some gravel),3664,2,SCL,10,20,1,15,60,25,42.684706241999997,25.373271238499999,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,155
163,0,0,0,0,2,0,10YR3/2,Pasture,Stony light clay,4083,7,SC,20,50,0,8,51,41,42.687091666699999,25.2258116667,100,2,5,-8.1999999999999998e-004,4,1.3200000000000001,161
162,0,0,0,0,2,0,7.5YR2.5/1,Pasture,Stony loam,L1809,9,SiCL,12,30,1,55,10,35,42.6878690136,25.3053449087,100,2,5,7.1410000000000001e-002,9,1.27,160
164,0,0,0,S,2,0,10YR2/2,Sown field,Light clay,L1808,9,CL,4,5,1,35,32,33,42.689241128399999,25.316901839500002,100,4,4,2.4e-002,4,1.3200000000000001,162
179,0,0,0,,2,0,7.5YR2.5/2,Ungrazed pasture,Stony loam,4114,7,SCL,25,30,0,15,60,25,42.689561666700001,25.259650000000001,100,2,4,1.9990000000000001e-002,9,1.4099999999999999,177
169,0,0,0,S,1,0,10YR3/4,Sown field,Clay loam,4084,7,SCL,15,30,1,15,60,25,42.689973333300003,25.232980000000001,100,2,4,6.6600000000000001e-003,4,1.4099999999999999,167
168,0,0,0,,1,0,10YR3/2,Harvested field,Loam,L1750,6,SCL,15,20,1,15,60,25,42.690496668400002,25.285381666599999,100,2,3,2.3290000000000002e-002,9,1.4099999999999999,166
165,0,0,0,0,2,0,10YR3/2,Pasture,Gravelly loam,3707,2,SCL,25,60,1,15,60,25,42.690590001799997,25.353191666600001,100,2,5,3.3600000000000001e-003,4,1.4099999999999999,163
166,0,0,0,E,1,0,2.5Y3/2,Public field,Clay loam (some gravel),3716,1,SCL,15,25,1,15,60,25,42.690622131200001,25.3392925759,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,164
167,0,0,0,Earthworm activity,2,0,2.5YR3/2,Fallow field (grain),Clay loam (stony),L1807,9,SiC,5,8,0,43,8,49,42.6906860303,25.330791066700002,100,4,5,2.402e-002,1.5,1.21,165
171,0,0,0,Near stream,2,0,2.5Y3/3,Forest edge,Gravel soil,3665,2,SCL,3,30,0,15,60,25,42.692091668400003,25.376895000000001,100,2,4,1.9990000000000001e-002,9,1.4099999999999999,169
170,0,0,0,,2,0,10YR2/2,Sown field,Gravelly loam,3711,2,SC,25,50,1,8,51,41,42.692160089300003,25.347869115200002,100,2,5,-8.1999999999999998e-004,4,1.3200000000000001,168
172,0,0,0,,2,0,2.5Y3/2,Fallow field,Clay loam (some gravel),3712,2,SCL,25,35,1,15,60,25,42.693158335100001,25.344404999999998,100,2,4,6.6600000000000001e-003,4,1.4099999999999999,170
173,0,0,0,"S aspect, steep hill",1,1,10YR2/2,Pine forest,Stony loam,4021,6,SL,30,60,1,25,65,10,42.693779689000003,25.3116869833,100,3,4,7.041e-002,7.5,1.5600000000000001,171
176,0,0,0,0,1,0,10YR3/3,Pasture between rose plantations,Light clay,4115,7,SC,25,30,0,8,51,41,42.694306666700001,25.273033333299999,100,2,5,-8.1999999999999998e-004,4,1.3200000000000001,174
175,0,0,0,,2,0,10YR2/2,Rose field,Loam,4026,6,CL,25,25,1,35,32,33,42.694485113200003,25.296163023599998,100,4,4,8.5599999999999996e-002,7,1.3200000000000001,173
177,0,0,0,,2,0,7.5YR2.5/2,Ungrazed pasture,Stony clay loam,4027,6,SL,15,20,1,25,65,10,42.6946576558,25.284301683700001,100,3,2,9.9040000000000003e-002,6,1.5600000000000001,175
178,0,0,0,0,2,0,2.5Y3/3,Ex-rose field,Light stony clay,4010,6,SL,25,20,1,25,65,10,42.696674999999999,25.360589999999998,100,3,2,2.742e-002,3,1.5600000000000001,176
181,0,0,0,0,2,1,10YR2/2,Cleared urban edge,Heavy loam,L1741,6,SL,15,15,0,25,65,10,42.698938335100003,25.308593333299999,100,3,2,7.7009999999999995e-002,7.5,1.5600000000000001,179
183,0,0,0,,2,0,10YR2/2,Ungrazed pasture,Stony loam,4028,6,SL,25,50,1,25,65,10,42.699744424499997,25.286872919099999,100,3,3,7.3709999999999998e-002,7.5,1.5600000000000001,181
182,2,0,0,,9,9,,,Medium clay,L1806,9,SCL,20,25,1,15,60,25,42.699773293,25.3300907257,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,180
186,0,0,0,,2,0,10YR3/3,Fallow field,Very stony loam,L1903,10,LS,25,60,0,13,82,5,42.700361666699997,25.280155000000001,100,1,4,2.9059999999999999e-002,7.5,1.6899999999999999,184
188,0,0,0,N,2,0,10YR2/2,Pasture,Heavy loam (gravelly),4013,6,SiL,20,15,0,68,20,12,42.700446641699997,25.343405945499999,100,3,3,5.2400000000000002e-002,4,1.4399999999999999,186
184,0,0,0,S,1,0,10YR3/3,Pasture,Stony loam,4016,6,SCL,30,60,0,15,60,25,42.700550679599999,25.311788358800001,100,2,5,3.3600000000000001e-003,4,1.4099999999999999,182
185,0,0,0,,2,0,10YR2/2,Ungrazed pasture,Stony light clay,L1749,6,SC,30,40,0,8,51,41,42.700796666700001,25.302244999999999,100,2,5,-8.1999999999999998e-004,4,1.3200000000000001,183
187,0,0,0,,2,0,10YR3/3,Lavender field,Gravelly light clay,4014,6,SCL,15,30,1,15,60,25,42.705660162900003,25.324994922999998,100,2,4,6.6600000000000001e-003,4,1.4099999999999999,185
191,0,0,0,,1,0,10YR3/3,Sown field,Gravelly light clay,L1760,6,SCL,15,25,1,15,60,25,42.707127035500001,25.2876347668,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,189
190,0,0,0,,0,0,2.5Y3/3,Pasture,Gravelly loam,L1761,6,LS,20,30,1,13,82,5,42.708986513200003,25.297010288599999,100,1,3,7.3400000000000002e-003,3,1.6899999999999999,188
189,0,0,0,,1,0,2.5Y3/3,Tilled field,"Light clay, many fragments",L1740,6,SC,15,15,1,8,51,41,42.709985476600004,25.3195236143,100,2,4,2.47e-003,4,1.3200000000000001,187
194,0,0,0,0,2,0,10YR3/3,Sown pasture,Stony medium clay,L1964,11,SL,8,15,1,25,65,10,42.714229288399999,25.302557787800001,100,3,2,2.742e-002,3,1.5600000000000001,192
